Sphere — volume | ((V=\tfrac{4}{3}\pi r^3))
Sphere — surface area | ((A=4\pi r^2))
Cone/pyramid — volume | ((V=\tfrac{1}{3}\,(\text{base area})\times(\text{height})))
Right circular cone — curved surface area | ((A=\pi r\times(\text{slant height})))
Circle — arc length (\theta in radians) | ((s=r\theta))
Circle sector — area (\theta in radians) | ((A=\tfrac{1}{2}r^2\theta))
Quadratic equation ax^2+bx+c=0 — roots | ((x=\tfrac{-b\pm\sqrt{b^2-4ac}}{2a}))
Arithmetic progression — nth term | ((u_n=a+(n-1)d))
Arithmetic progression — sum of first n terms | ((S_n=\tfrac{n}{2}\{2a+(n-1)d\}=\tfrac{n}{2}(a+l)))
Geometric progression — nth term | ((u_n=ar^{\,n-1}))
Geometric progression — sum of first n terms (r\neq 1) | ((S_n=\tfrac{a(1-r^n)}{1-r}))
Geometric progression — sum to infinity (| (r|<1) | (S_\infty=\tfrac{a}{1-r}))
Binomial theorem (n\in\mathbb{Z}^+) | (((a+b)^n=\sum_{r=0}^{n}\binom{n}{r}a^{\,n-r}b^{\,r}))
Binomial coefficient | ((\binom{n}{r}=\tfrac{n!}{r!(n-r)!}))
Binomial series (n\in\mathbb{Q}, | (x|<1) | ((1+x)^n=1+nx+\tfrac{n(n-1)}{2!}x^2+\tfrac{n(n-1)(n-2)}{3!}x^3+\cdots))
Trig — basic ratio | ((\tan\theta\equiv\tfrac{\sin\theta}{\cos\theta}))
Trig — Pythagorean identities | ((\sin^2\theta+\cos^2\theta\equiv 1, 1+\tan^2\theta\equiv\sec^2\theta, 1+\cot^2\theta\equiv\csc^2\theta))
Trig — sine addition/subtraction | ((\sin(A\pm B)\equiv\sin A\cos B\pm\cos A\sin B))
Trig — cosine addition/subtraction | ((\cos(A\pm B)\equiv\cos A\cos B\mp\sin A\sin B))
Trig — tangent addition/subtraction | ((\tan(A\pm B)\equiv\tfrac{\tan A\pm\tan B}{1\mp\tan A\tan B}))
Trig — double angle | ((\sin 2A=2\sin A\cos A; \cos 2A=\cos^2 A-\sin^2 A=1-2\sin^2 A=2\cos^2 A-1; \tan 2A=\tfrac{2\tan A}{1-\tan^2 A}))
Differentiation — \frac{d}{dx}(x^n) | ((nx^{\,n-1}))
Differentiation — \frac{d}{dx}(\ln x) | ((\tfrac{1}{x}))
Differentiation — \frac{d}{dx}(e^x) | ((e^x))
Differentiation — \frac{d}{dx}(\sin x) | ((\cos x))
Differentiation — \frac{d}{dx}(\cos x) | ((-\sin x))
Differentiation — \frac{d}{dx}(\tan x) | ((\sec^2 x))
Differentiation — \frac{d}{dx}(\sec x) | ((\sec x\tan x))
Differentiation — \frac{d}{dx}(\csc x) | ((-\csc x\cot x))
Differentiation — \frac{d}{dx}(\cot x) | ((-\csc^2 x))
Product rule | ((\tfrac{d}{dx}(uv)=u\,\tfrac{dv}{dx}+v\,\tfrac{du}{dx}))
Quotient rule | ((\tfrac{d}{dx}\!\left(\tfrac{u}{v}\right)=\tfrac{v\,\tfrac{du}{dx}-u\,\tfrac{dv}{dx}}{v^2}))
Parametric differentiation | ((If x=x(t),\ y=y(t), then \tfrac{dy}{dx}=\tfrac{dy/dt}{dx/dt}))
Integration — \int x^n\,dx (n\neq -1) | ((\tfrac{x^{n+1}}{n+1}))
Integration — \int \tfrac{1}{x}\,dx | ((\ln x))
Integration — \int e^x\,dx | ((e^x))
Integration — \int \sin x\,dx | ((-\cos x))
Integration — \int \cos x\,dx | ((\sin x))
Integration — \int \sec^2 x\,dx | ((\tan x))
Integration — \int \csc^2 x\,dx | ((-\cot x))
Integration — \int \sec x\tan x\,dx | ((\sec x))
Integration — \int \csc x\cot x\,dx | ((-\csc x))
Integration by parts | ((\int u\,dv=uv-\int v\,du))
Integration — \int \tfrac{1}{x^2+a^2}\,dx (a>0) | ((\tfrac{1}{a}\tan^{-1}\!\left(\tfrac{x}{a}\right)))
Integration — \int \tfrac{1}{x^2-a^2}\,dx (x>a) | ((\tfrac{1}{2a}\ln\left|\tfrac{x-a}{x+a}\right|))
Integration — \int \tfrac{1}{a^2-x^2}\,dx (x<a) | ((\tfrac{1}{2a}\ln\left|\tfrac{a+x}{a-x}\right|))
Logarithmic integration | ((\int \tfrac{f'(x)}{f(x)}\,dx=\ln|f(x)|))
Vectors — dot product (components) | ((\mathbf{a}\cdot\mathbf{b}=a_1b_1+a_2b_2+a_3b_3))
Vectors — dot product (angle) | ((\mathbf{a}\cdot\mathbf{b}=\lVert\mathbf{a}\rVert\,\lVert\mathbf{b}\rVert\cos\theta))
SUVAT — v | ((v=u+at))
SUVAT — s via average velocity | ((s=\tfrac{1}{2}(u+v)t))
SUVAT — s | ((s=ut+\tfrac{1}{2}at^2))
SUVAT — v^2 | ((v^2=u^2+2as))
Ungrouped data — mean | ((\bar{x}=\tfrac{\sum x}{n}))
Ungrouped data — standard deviation | ((\sigma=\sqrt{\tfrac{\sum x^2}{n}-\left(\tfrac{\sum x}{n}\right)^2}))
Grouped data — mean | ((\bar{x}=\tfrac{\sum f x}{\sum f}))
Grouped data — standard deviation | ((\sigma=\sqrt{\tfrac{\sum f x^2}{\sum f}-\left(\tfrac{\sum f x}{\sum f}\right)^2}))
Discrete RV — expectation | ((\mathrm{E}(X)=\sum x p))
Discrete RV — variance | ((\mathrm{Var}(X)=\sum x^2 p - [\mathrm{E}(X)]^2))
